=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     bodyPerformance
Instances:    10745
Attributes:   12
              age
              gender
              height_cm
              weight_kg
              body fat_%
              diastolic
              systolic
              gripForce
              sit and bend forward_cm
              sit-ups counts
              broad jump_cm
              class
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities
Attribute mappings:

Model attributes                   	    Incoming attributes
-----------------------------------	    ----------------
(numeric) age                      	--> 1 (numeric) age
(nominal) gender                   	--> 2 (nominal) gender
(numeric) height_cm                	--> 3 (numeric) height_cm
(numeric) weight_kg                	--> 4 (numeric) weight_kg
(numeric) body fat_%               	--> 5 (numeric) body fat_%
(numeric) diastolic                	--> 6 (numeric) diastolic
(numeric) systolic                 	--> 7 (numeric) systolic
(numeric) gripForce                	--> 8 (numeric) gripForce
(numeric) sit and bend forward_cm  	--> 9 (numeric) sit and bend forward_cm
(numeric) sit-ups counts           	--> 10 (numeric) sit-ups counts
(numeric) broad jump_cm            	--> 11 (numeric) broad jump_cm
(nominal) class                    	--> 12 (nominal) class


Time taken to build model: 4.7 seconds

=== Predictions on test set ===

    inst#     actual  predicted      error
        1     68.78      70.332      1.552 
        2     55         53.065     -1.935 
        3     53.5       57.387      3.887 
        4     52.6       52.991      0.391 
        5     57.1       60.253      3.153 
        6     53         56.29       3.29  
        7     50.5       51.884      1.384 
        8     56.7       57.528      0.828 
        9     75.3       70.28      -5.02  
       10     62.5       64.675      2.175 
       11     62         63.666      1.666 
       12     43.5       47.743      4.243 
       13     43.2       50.923      7.723 
       14     67.5       75.436      7.936 
       15     67.7       71.639      3.939 
       16     58.14      55.448     -2.692 
       17     67.4       74.144      6.744 
       18     77.08      75.802     -1.278 
       19     69         67.453     -1.547 
       20     74.3       72.994     -1.306 
       21     84.62      84.812      0.192 
       22     50.92      53.924      3.004 
       23     69.3       77.674      8.374 
       24     70.5       71.454      0.954 
       25     61.7       64.72       3.02  
       26     88.7       81.276     -7.424 
       27     83.7       75.046     -8.654 
       28     53.5       61.464      7.964 
       29     83.4       91.129      7.729 
       30     71.8       69.683     -2.117 
       31     76.3       76.712      0.412 
       32     56.8       62.045      5.245 
       33     54         56.602      2.602 
       34     76.1       77.575      1.475 
       35     74.3       77.58       3.28  
       36     79.5       79.551      0.051 
       37     62         60.755     -1.245 
       38     80.6       74.646     -5.954 
       39     86.7       85.909     -0.791 
       40     70.52      67.56      -2.96  
       41     98.08      90.071     -8.009 
       42     47.1       48.671      1.571 
       43     71.5       75.107      3.607 
       44     68.1       67.797     -0.303 
       45     83         84.844      1.844 
       46     56.9       55.893     -1.007 
       47     70.5       72.395      1.895 
       48     87.5       89.279      1.779 
       49     59.4       59.981      0.581 
       50     73.8       70.941     -2.859 
       51     70         72.271      2.271 
       52     74.2       76.235      2.035 
       53     66.7       70.681      3.981 
       54     83.1       81.655     -1.445 
       55     65         68.374      3.374 
       56     59.1       65.694      6.594 
       57     94.86      92.275     -2.585 
       58     64         70.82       6.82  
       59     58.5       53.633     -4.867 
       60     98.3       89.485     -8.815 
       61     73         71.438     -1.562 
       62     70.4       64.73      -5.67  
       63     59.7       61.226      1.526 
       64     56.1       59.97       3.87  
       65     84.2       77.575     -6.625 
       66     73.9       71.645     -2.255 
       67     61.4       64.165      2.765 
       68     61.2       65.577      4.377 
       69     67         68.032      1.032 
       70     70.4       69.165     -1.235 
       71     68.6       72.075      3.475 
       72     54.6       53.398     -1.202 
       73     61.7       63.713      2.013 
       74     51.94      54.098      2.158 
       75     87.6       83.3       -4.3   
       76     55.6       56.161      0.561 
       77     65.8       65.026     -0.774 
       78     66.28      67.549      1.269 
       79     51.7       56.279      4.579 
       80     49.1       51.108      2.008 
       81     48.5       51.644      3.144 
       82     61.7       67.321      5.621 
       83     52.5       59.658      7.158 
       84     65.2       67.163      1.963 
       85     70.5       72.595      2.095 
       86     60.1       55.773     -4.327 
       87     61         63.706      2.706 
       88     86         81.831     -4.169 
       89     52.4       56.951      4.551 
       90     48.54      53.98       5.44  
       91     70.4       69.07      -1.33  
       92     54.76      52.12      -2.64  
       93     61.86      63.758      1.898 
       94     48.78      48.753     -0.027 
       95     64.2       66.682      2.482 
       96     60         64.804      4.804 
       97     82.7       75.266     -7.434 
       98     86.9       84.132     -2.768 
       99     88.5       81.677     -6.823 
      100     86.8       84.99      -1.81  
      101     63.3       67.994      4.694 
      102     56.18      61.84       5.66  
      103     83.9       78.466     -5.434 
      104     56.78      51.519     -5.261 
      105     67.6       74.48       6.88  
      106     93.1       90.479     -2.621 
      107     79.4       81.165      1.765 
      108     55         61.655      6.655 
      109     79.56      77.733     -1.827 
      110     70         71.551      1.551 
      111     55         61.047      6.047 
      112     71.76      68.479     -3.281 
      113     46.7       46.151     -0.549 
      114     54.3       61.034      6.734 
      115     75.6       68.852     -6.748 
      116     49.7       51.726      2.026 
      117     81.1       76.137     -4.963 
      118     75.6       77.83       2.23  
      119     71.4       80.716      9.316 
      120     73         59.086    -13.914 
      121     84.1       74.967     -9.133 
      122     56.8       58.111      1.311 
      123     75.8       71.083     -4.717 
      124     57.9       66.316      8.416 
      125     48.8       52.435      3.635 
      126     69.5       73.187      3.687 
      127     82.5       72.358    -10.142 
      128     67.4       69.447      2.047 
      129     63.6       64.804      1.204 
      130     76.9       77.141      0.241 
      131     82.8       80.609     -2.191 
      132     72.6       71.609     -0.991 
      133     63.9       73.728      9.828 
      134     98.28      90.388     -7.892 
      135     68.3       72.383      4.083 
      136     49.3       50.373      1.073 
      137     76.9       83.192      6.292 
      138     50         57.431      7.431 
      139     63.9       62.892     -1.008 
      140     61.8       59.043     -2.757 
      141     62.3       63.382      1.082 
      142     55         58.273      3.273 
      143     49         52.629      3.629 
      144     68.9       74.473      5.573 
      145     71.1       67.797     -3.303 
      146     69.4       64.549     -4.851 
      147     75.1       74.09      -1.01  
      148     45.7       49.339      3.639 
      149     73.5       69.924     -3.576 
      150     60.3       62.723      2.423 
      151     57.8       67.542      9.742 
      152     70.72      71.417      0.697 
      153     73.4       71.005     -2.395 
      154     60.5       64.27       3.77  
      155     66.9       69.877      2.977 
      156     61.4       57.139     -4.261 
      157     56.5       55.433     -1.067 
      158     50.3       48.813     -1.487 
      159     49.3       61.429     12.129 
      160     49.1       50.09       0.99  
      161     59.28      57.619     -1.661 
